Time;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
1;-16;5;100.61;1395;127;1374;1.06;1.34;45;1419;1.31;352;37;3.131;3;412.1;-16;-0.05;114;1;1;1;0;29;0;257;0;-1;0.73;2.5;410.7;0;85;114;13.68;67;20.25;69.22;19.7284198;74.18;19.15;13.05;17.5
2;-14;5;101.1;1395;131;1378;1.06;1.26;45;1418;1.65;353;37;3.129;3;411.2;-14;-0.05;89;1;1;1;0;30;0;3;0;-1;0.73;2.5;410.7;0;87;116;13.19;67;20.25;69.22;19.7459136;74.15;19.18;13;17.55
3;-1;6;98.66;1395;127;1361;1.05;1.39;45;1418;1.41;353;37;3.126;3;411.4;-1;-0.05;1;1;1;1;0;31;0;2;0;-1;0.008;2.5;410.4;0;82;112;13.19;67;20.25;69.19;19.7459136;74.15;19.18;13.1;17.5
4;-1;7;100.12;1395;125;1371;1.06;1.25;45;1418;1.36;353;37.1;3.126;3;411.3;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.007;2.5;410.4;0;79;110;13.68;67;20.25;69.22;19.7459136;74.15;19.18;13.1;17.5
5;-1;7;97.68;1395;129;1354;1.05;1.31;45;1418;1.32;353;37;3.126;3;411.3;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.6;0;79;109;13.68;67;20.25;69.34;19.7459136;74.13;19.24;13.1;17.5
6;-1;6;102.56;1395;140;1387;1.05;1.2;45;1418;1.41;353;37;3.127;3;411.3;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.6;0;77;109;13.68;67;20.25;69.34;19.7459136;74.13;19.24;13.1;17.5
7;-1;6;98.66;1395;128;1361;1.06;1.48;45;1432;1.39;352;37;3.125;3;411;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.3;0;74;105;13.19;67;20.25;69.34;19.7284198;74.13;19.15;13.1;17.5
8;-1;7;98.66;1395;116;1361;1.05;1.36;45;1419;1.36;353;37;3.123;3;411.3;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.008;2.5;409.7;0;74;103;13.68;67;20.25;69.34;19.7459136;74.15;19.2;13.1;17.5
9;-1;7;102.08;1395;133;1384;1.06;1.17;45;1420;1.29;353;37;3.127;3;410.9;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.008;2.5;409.7;0;72;103;13.68;67;20.25;69.34;19.7284198;74.15;19.22;13.1;17.5
10;-1;6;98.17;1395;132;1357;1.06;1.39;45;1420;1.37;353;37;3.126;3;411.3;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.007;2.5;410;0;71;101;13.19;67;20.25;69.34;19.7459136;74.15;19.18;13.1;17.5
11;-1;6;98.17;1395;137;1357;1.06;1.34;45;1420;1.4;353;37;3.126;3;411.3;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.007;2.5;410;0;70;99;13.19;67;20.25;69.34;19.7459136;74.15;19.17;13.1;17.5
12;-1;7;98.17;1395;134;1357;1.05;1.26;45;1418;1.45;353;37;3.12;3;411.6;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.007;2.5;410.4;0;70;98;13.19;67;20.25;69.34;19.7459136;74.18;19.18;13.1;17.5
13;-1;7;98.66;1395;134;1361;1.06;1.29;45;1418;1.42;353;37.1;3.12;3;411.6;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.007;2.5;410.3;0;70;98;13.19;67;20.25;69.34;19.7284198;74.18;19.18;13.1;17.5
14;-1;7;100.12;1395;123;1371;1.05;1.27;45;1418;1.51;353;37.2;3.127;3;411.3;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.007;2.5;410.3;0;70;98;13.68;67;20.25;69.34;19.7459136;74.13;19.18;13.1;17.5
15;-1;7;99.63;1395;124;1367;1.06;1.25;45;1418;1.5;353;37.1;3.127;3;411.3;-1;-0.05;1;1;1;1;0;31;0;2;0;-1;0.007;2.5;410.3;0;68;98;13.68;67;20.25;69.34;19.7459136;74.13;19.18;13.1;17.55
16;-1;5;100.12;1395;127;1371;1.05;1.36;45;1421;1.34;353;37.2;3.124;3;411.9;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.008;2.5;410.8;0;69;99;13.19;67;20.25;69.34;19.7284198;74.13;19.24;13.1;17.59
17;-1;6;100.12;1395;126;1371;1.05;1.32;45;1421;1.38;353;37.2;3.124;3;411.9;-1;-0.05;1;1;1;1;0;29;0;2;0;-1;0.008;2.5;410.8;0;69;99;13.19;67;20.25;69.34;19.7284198;74.13;19.25;13.1;17.59
18;0;7;97.19;1395;130;1351;1.06;1.18;45;1418;1.61;353;37.2;3.127;3;411.6;0;-0.05;0;1;1;1;0;29;0;2;0;-1;0.007;2.5;410.4;0;70;100;13.19;67;20.25;69.34;19.7284198;74.1;19.25;13.1;17.59
19;0;7;97.19;1395;122;1351;1.06;1.25;45;1418;1.62;353;37.2;3.127;3;411.6;0;-0.05;0;1;1;1;0;29;0;2;0;-1;0.007;2.5;410.4;0;70;100;13.19;67;20.25;69.34;19.7284198;74.1;19.25;13.1;17.59
20;-1;7;99.15;1395;133;1364;1.05;1.45;45;1418;1.51;353;37.2;3.122;3;411.8;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.9;0;69;100;13.68;67;20.25;69.34;19.7284198;74.08;19.22;13.1;17.59
21;-1;7;98.17;1395;131;1357;1.05;1.45;45;1418;1.58;352;37.2;3.122;3;411.8;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.9;0;69;100;13.19;67;20.25;69.34;19.7284198;74.08;19.24;13.1;17.59
22;-1;5;98.17;1395;131;1357;1.06;1.28;45;1418;1.47;353;37.1;3.123;3;411.4;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.007;2.5;410.4;0;69;100;13.19;67;20.25;69.19;19.7284198;74.08;19.23;13.1;17.59
23;-1;5;97.68;1395;134;1354;1.07;1.23;45;1418;1.48;353;37.2;3.123;3;411.5;-1;-0.05;1;1;1;1;0;30;0;2;0;-1;0.007;2.5;410.5;0;69;100;13.19;67;20.25;69.19;19.7284198;74.08;19.23;13.1;17.55
24;0;7;100.61;1395;131;1374;1.07;1.29;45;1418;1.61;353;37.1;3.123;3;411.4;0;-0.05;0;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.4;0;69;100;13.19;67;20.25;69.19;19.7284198;74.1;19.24;13.1;17.59
25;0;6;99.15;1395;132;1364;1.05;1.3;45;1418;1.68;353;37.2;3.123;3;411.4;0;-0.05;0;1;1;1;0;30;0;2;0;-1;0.008;2.5;410.4;0;69;100;13.19;67;20.25;69.22;19.7284198;74.1;19.24;13.1;17.59
26;0;5;100.61;1395;127;1374;1.05;1.17;45;1432;1.7;353;37.2;3.121;3;411.4;0;-0.05;0;1;1;1;0;30;0;2;0;-1;0.007;2.5;410.5;0;69;100;13.19;67;20.25;69.19;19.7284198;74.13;19.24;13.1;17.55
