Time;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
1;0;7;192.43;1944;241;1900;0.88;2.55;42;1819;2.51;418;35.6;0.009;2;408;0;-0.05;0;1;1;0;0;31;0;2;0;1;0.007;2.4;407.1;0;76;106;25.4;67;18.7;69.9;17.98;79.33;16.62;10.37;15.59
2;0;7;180.71;1797;182;1842;0.87;2.27;42;1953;3.05;415;35.6;1.482;2;407.3;0;-0.05;0;1;1;0;0;32;0;2;0;1;0.007;2.4;406.4;0;75;105;23.44;67;18.7;69.9;17.98;79.35;16.58;10.37;15.59
3;0;7;133.82;1573;134;1585;1.02;1.53;42;1781;1.9;396;35.4;1.482;2;407.2;0;-0.05;0;1;1;0;0;31;0;2;0;1;0.007;2.4;406.4;0;75;105;18.07;67;18.7;69.9;17.98;79.35;16.59;10.37;15.59
4;0;6;102.08;1395;126;1384;1.04;1.54;42;1539;1.55;352;35.3;3.096;2;407.2;0;-0.05;0;1;1;0;0;31;0;2;0;1;0.007;2.4;406.1;0;73;105;13.19;67;18.7;70.03;17.98;79.35;16.63;10.37;15.59
5;0;6;101.59;1395;125;1381;1.06;1.38;42;1432;1.34;353;35.3;3.095;2;407.2;0;-0.05;0;1;1;0;0;30;0;2;0;1;0.007;2.4;406.2;0;71;103;13.19;67;18.7;70.03;17.98;79.38;16.63;10.37;15.59
6;0;7;102.08;1395;122;1384;1.05;1.2;42;1422;1.31;353;35.3;3.094;2;407;0;-0.05;0;1;1;0;0;30;0;2;0;1;0.007;2.4;406.2;0;70;102;13.19;67;18.7;70.03;17.98;79.4;16.63;10.37;15.59
7;0;7;102.56;1395;132;1387;1.05;1.31;42;1429;1.46;353;35.3;3.094;2;407.1;0;-0.05;0;1;1;0;0;31;0;2;0;1;0.007;2.4;406.2;0;69;100;12.7;67;18.7;70.03;17.98;79.47;16.65;10.37;15.59
8;0;6;102.08;1395;126;1384;1.06;1.2;42;1418;1.3;353;35.3;3.096;2;407.1;0;-0.05;0;1;1;0;0;30;0;2;0;1;0.008;2.4;406.2;0;68;98;13.68;67;18.7;70.03;17.98;79.5;16.62;10.37;15.59
9;0;6;101.59;1395;128;1381;1.05;1.2;42;1432;1.42;353;35.4;3.096;2;407.1;0;-0.05;0;1;1;0;0;29;0;2;0;1;0.008;2.4;406.2;0;67;98;13.19;67;18.7;70.03;17.98;79.52;16.63;10.37;15.59
10;0;7;101.1;1395;131;1378;1.06;1.34;42;1421;1.54;353;35.4;3.096;2;407.1;0;-0.05;0;1;1;0;0;29;0;2;0;1;0.008;2.4;406.3;0;66;98;13.19;67;18.7;70.03;17.98;79.57;16.57;10.37;15.64
11;0;7;103.54;1395;127;1394;1.06;1.16;42;1430;1.47;353;35.3;3.096;2;407.1;0;-0.05;0;1;1;0;0;29;0;2;0;1;0.008;2.4;406.3;0;67;96;13.19;67;18.7;70.03;17.98;79.62;16.63;10.37;15.59
